trace_id,count_transaction,count_session_login,count_device_registration,count_beneficiary_addition,total_events,window_seconds,transactions_per_hour,mean_time_between_transactions,min_time_between_transactions,transactions_per_session,time_login_to_first_transaction,login_attempt_count_max,auth_failure_present,new_device_present,time_device_registration_to_transaction,beneficiary_added_before_transaction,time_from_beneficiary_add_to_transaction,failed_transaction_count,failed_then_completed,amount_mean,amount_max,amount_min,amount_std,amount_cv,amount_change_after_failure,amount_trend,distinct_channels,fraud,attack_family,attack_difficulty,customer_id,HESITATION_DELTA
atk-73100246,1,1,1,1,4,960.0,3.75,960.0,960.0,1.0,960.0,1,0,1,960.0,1,0.0,1,0,33647.49,33647.49,33647.49,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,easy,ace3b175-db94-4ca5-9d87-34d64fd6b993,-8.608497256160572
atk-219e974f,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,easy,e9669dd5-9e35-4c39-901d-6ffb9e8ca7dd,0.0
atk-308113e9,0,1,1,1,3,1440.0,0.0,1440.0,1440.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,easy,b56b42e3-4b67-4eee-a294-17aa8de74cbb,0.0
atk-2a496852,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,easy,f777751c-882f-4233-a7ef-03edb93bbaa7,0.0
atk-44f9a9ec,1,1,1,1,4,660.0,5.454545454545455,660.0,660.0,1.0,660.0,1,0,1,660.0,1,180.0,1,0,36121.16,36121.16,36121.16,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,easy,0bb8c9eb-2997-4cdf-aa71-f13d5e5c8bd1,-0.5281612365302756
atk-61abd50a,1,1,1,1,4,240.0,15.0,240.0,240.0,1.0,240.0,1,0,1,240.0,1,0.0,0,0,20620.93,20620.93,20620.93,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,easy,92ecfbad-d07a-4a47-8dc1-f3c65f4e3c66,-0.5661722418829285
atk-2b959c29,1,1,1,1,4,1320.0,2.7272727272727275,1320.0,1320.0,1.0,1320.0,1,0,1,1320.0,1,600.0,0,0,24875.41,24875.41,24875.41,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,easy,51667bc0-f4bf-4f46-a4a5-cff909e424a4,-0.7415657979103977
atk-8ea580dd,2,1,1,1,5,1140.0,6.315789473684211,600.0,600.0,2.0,540.0,1,0,1,540.0,1,0.0,0,0,12345.949999999999,21754.78,2937.12,9408.829999999998,0.7620985019378824,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,68903bb2-649b-4203-8427-e34e3e963423,-0.7320242574169508
atk-8849b7d3,0,1,1,1,3,120.0,0.0,120.0,120.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,easy,8255f136-0bec-4181-9911-5378682e818f,0.0
atk-ab9cd42d,2,1,1,1,5,1260.0,5.714285714285714,600.0,600.0,2.0,660.0,1,0,1,660.0,1,600.0,0,0,12296.71,21818.07,2775.35,9521.359999999999,0.774301418834794,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,9cb9bed9-fe71-463b-809d-526a8077ab40,-0.2997016188418835
atk-c72ef7f5,3,1,1,1,6,1500.0,7.199999999999999,480.0,480.0,3.0,540.0,1,0,1,540.0,1,0.0,1,1,17975.486666666668,29283.9,1636.67,11834.161002235107,0.6583499641308797,1,-1.0,1,1,ACCOUNT_TAKEOVER,easy,fb1de250-35f9-47c6-8a9a-98b6c2fa503e,-0.6081251332130581
atk-3c925290,2,1,1,1,5,480.0,15.0,120.0,120.0,2.0,360.0,1,0,1,360.0,1,0.0,1,1,28801.160000000003,33714.69,23887.63,4913.530000000001,0.17060180909380038,1,-1.0,1,1,ACCOUNT_TAKEOVER,easy,96a5d6dd-535b-4bf8-b9be-b86cff14b33c,-1.093469167808077
atk-9f0ac1cf,2,1,1,1,5,720.0,10.0,420.0,420.0,2.0,300.0,1,0,1,300.0,1,0.0,1,0,12617.23,23710.16,1524.3,11092.93,0.8791890137534151,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,5888410f-b2b5-4beb-b481-c64dbe2b6c17,-0.5351519157311664
atk-c1672521,2,1,1,1,5,840.0,8.571428571428571,420.0,420.0,2.0,420.0,1,0,1,420.0,1,60.0,1,0,13305.785,21309.79,5301.78,8004.005000000001,0.6015432385236948,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,5ff212f1-a315-498a-a3d1-9afa715056c5,-1.0155221074937542
atk-77abca8f,2,1,1,1,5,1860.0,3.8709677419354835,180.0,180.0,2.0,1680.0,1,0,1,1680.0,1,0.0,0,0,12375.914999999999,23509.14,1242.69,11133.225,0.8995880304607782,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,0514f0ad-c6f6-4730-8071-9d027367ef9c,-0.5650236508844856
atk-83060220,3,1,1,1,6,960.0,11.25,360.0,120.0,3.0,240.0,1,0,1,240.0,1,0.0,1,0,8353.846666666666,20103.75,304.99,8495.921931767552,1.0170071669698932,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,68903bb2-649b-4203-8427-e34e3e963423,-0.7320242574169508
atk-0f920fa8,3,1,1,1,6,1680.0,6.428571428571429,510.0,420.0,3.0,660.0,1,0,1,660.0,1,540.0,0,0,8331.926666666666,23036.73,83.44,10423.575814189464,1.251040273300869,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,b56b42e3-4b67-4eee-a294-17aa8de74cbb,-0.40175227526971685
atk-05cf5afd,2,1,1,1,5,2460.0,2.926829268292683,480.0,480.0,2.0,1980.0,1,0,1,1980.0,1,480.0,0,0,12423.164999999999,23653.94,1192.39,11230.775,0.9040188229006055,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,c4db965a-f70f-4778-b4af-c4b29c66e15e,-0.7526438695040754
